endTime,artistName,trackName,msPlayed
2020-07-25 07:43,Greer,Song for Me,111938
2020-07-25 07:45,Yeasayer,Child Prodigy,0
2020-07-25 07:45,Eric Clapton,Ten Long Years,890
2020-07-25 07:45,Anthony Gonzalez,Un Poco Loco,105756
2020-07-25 07:45,Yael Naim,New Soul,4838
2020-07-25 07:45,Hiatus Kaiyote,By Fire,2439
2020-07-25 07:45,Mac Miller,Small Worlds,1869
2020-07-25 07:45,Tokyo Police Club,Centennial,808
2020-07-25 07:47,Dre'es,Warm (feat. Mia),153020
2020-07-25 07:49,sophie meiers,"Sincerely, Yours",106769
2020-07-25 07:50,Amerie,I Just Died,72233
2020-07-25 07:52,Sidney Gish,"Not but for You, Bunny",97702
2020-07-25 07:52,Sidney Gish,"Not but for You, Bunny",919
2020-07-25 07:52,Ricky Eat Acid,Big Man's Last Trip Outside,1037
2020-07-25 07:54,Ricky Eat Acid,Big Man's Last Trip Outside,147566
2020-07-25 08:03,John Coltrane,Naima,119717
2020-07-25 08:03,Fujitsu,khutso,3614
2020-07-25 08:04,Gene Ammons,Blues Up And Down,867
2020-07-25 08:04,Gesu No Kiwami Otome,秘めない私,488
2020-07-25 08:04,Sungazer,Drunk,1598
2020-07-25 08:04,Billie Eilish,bad guy,556
2020-07-25 08:04,Billie Eilish,bad guy,0
2020-07-25 08:04,Robert Johnson,Ramblin' On My Mind,1275
2020-07-25 08:04,Mac Miller,My Favorite Part,0
2020-07-25 08:04,Mac Miller,My Favorite Part,1068
2020-07-25 08:04,Billie Eilish,i love you,0
2020-07-25 08:04,Jimi Hendrix,Have You Ever Been (To Electric Ladyland),2288
2020-07-25 08:04,Billie Eilish,when the party's over,461
2020-07-25 08:04,Billie Eilish,when the party's over,0
2020-07-25 08:04,Billie Eilish,listen before i go,1071
2020-07-25 08:04,Billie Eilish,listen before i go,395
2020-07-25 08:04,Billie Eilish,listen before i go,206
2020-07-25 08:04,Lil Uzi Vert,Grab the Wheel,3381
